Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,soap:GetPlaylist,883,0,51,54.25812095128668,1.605800000106683,291.0314999999173,315.63193657984147,62.46605829970235,0.0,51,55,58,59,64,74,100,160,290,290,290
POST,soap:GetPlaylistSongs,596,0,53,58.49468909395116,3.0764000002818648,292.3458000004757,1834.8036912751677,42.162820777602036,0.0,53,58,60,62,67,83,190,280,290,290,290
POST,soap:GetSong,1365,0,52,55.970250402924314,2.242399999886402,340.14569999999367,413.45860805860804,96.56417845876977,0.0,52,56,58,60,66,79,110,190,320,340,340
POST,soap:GetUser,778,0,52,56.62804318767847,1.4748999992661993,326.81959999990795,313.9241645244216,55.038044572104674,0.0,52,56,59,61,66,79,160,220,330,330,330
POST,soap:ListPlaylists,501,0,51,55.608416367273044,2.2920999999769265,303.96209999980783,12778.0,35.44223692882319,0.0,51,55,59,60,65,83,110,190,300,300,300
POST,soap:ListSongs,827,0,57,60.860692503012864,7.300499999473686,322.43839999955526,115952.0,58.504450978316925,0.0,57,61,64,67,75,86,100,120,320,320,320
POST,soap:ListUsers,532,0,53,59.55822293231849,3.889800000251853,316.2452000005942,39777.0,37.63526955316155,0.0,53,57,60,63,72,89,170,290,320,320,320
,Aggregated,5482,0,53,57.11516760306008,1.4748999992661993,340.14569999999367,22917.96716526815,387.8130595684805,0.0,53,57,60,61,68,80,110,200,320,340,340
