Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,soap:GetPlaylist,260,0,46,46.532971923012994,14.872799999466224,61.845700000048964,315.5846153846154,18.487439229220325,0.0,46,48,49,50,53,55,56,57,62,62,62
POST,soap:GetPlaylistSongs,207,0,47,47.11135603867775,11.822299999948882,63.57719999959954,1834.6908212560386,14.718845847879258,0.0,47,48,49,51,55,57,58,59,64,64,64
POST,soap:GetSong,442,0,46,46.334619683278916,11.657000000013795,59.5394000001761,412.99095022624437,31.42864668967455,0.0,46,48,49,50,54,55,57,58,60,60,60
POST,soap:GetUser,236,0,46,46.39413983053508,10.632299999997485,58.81950000002689,313.97033898305085,16.780906377292293,0.0,46,48,49,50,53,54,56,57,59,59,59
POST,soap:ListPlaylists,188,0,47,47.79905425530547,32.38880000026256,61.333700000432145,12778.0,13.367840673436234,0.0,47,48,50,50,54,56,58,60,61,61,61
POST,soap:ListSongs,276,0,50,49.72616485505951,16.53840000017226,76.1173000000781,115952.0,19.625127797172343,0.0,50,51,53,53,56,58,61,62,76,76,76
POST,soap:ListUsers,158,0,48,49.170115189864894,25.22950000002311,60.85079999957088,39777.0,11.234674608526197,0.0,48,50,51,54,58,60,60,60,61,61,61
,Aggregated,1767,0,47,47.401847311826685,10.632299999997485,76.1173000000781,23434.212790039615,125.6434812232012,0.0,47,49,50,51,54,56,58,60,64,76,76
