Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,GetPlaylist,1054,0,330,334.7459367172541,1.724599999761267,1150.6875000004584,54.85104364326376,74.99347599657196,0.0,330,510,560,580,690,780,910,1100,1100,1200,1200
grpc,GetPlaylistSongs,686,0,420,351.1878348396626,1.9829000002573594,1150.7342000004428,662.6501457725948,48.809795572721406,0.0,420,510,580,600,730,790,1000,1100,1200,1200,1200
grpc,GetSong,1807,0,400,348.23293503043874,1.73110000014276,1150.8278000001155,92.36358605423354,128.57040903776615,0.0,400,520,570,590,720,790,1000,1100,1200,1200,1200
grpc,GetUser,1053,0,410,343.5922952516683,1.7469000003984547,1143.2479000004605,74.95441595441595,74.92232469107236,0.0,410,510,560,590,710,800,920,1100,1100,1100,1100
grpc,ListPlaylists,708,0,430,356.0984792372698,2.249800000754476,1131.5262999996776,5677.0,50.375124293712474,0.0,430,520,570,600,730,800,990,1000,1100,1100,1100
grpc,ListSongs,1040,0,420,354.61205000000007,4.782100000738865,1150.872000000163,47408.0,73.99735771957764,0.0,420,520,570,600,710,790,1000,1100,1100,1200,1200
grpc,ListUsers,733,0,320,326.7470907230622,3.220800000235613,1143.7202999995861,23057.0,52.15390693120232,0.0,320,480,540,570,670,780,950,1100,1100,1100,1100
,Aggregated,7081,0,390,345.320794421691,1.724599999761267,1150.872000000163,10024.380172292049,503.8223942426243,0.0,390,510,570,590,700,790,980,1100,1100,1200,1200
