Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,soap:GetPlaylist,1330,0,200,190.58032015036153,2.4660000008225325,1219.7227999995448,315.60375939849627,90.69010145203674,0.0,200,240,260,270,300,320,340,460,1000,1200,1200
POST,soap:GetPlaylistSongs,935,0,200,192.63738267380447,14.306300000498595,1001.871299999948,1835.235294117647,63.75582320124388,0.0,200,250,270,280,300,320,400,600,1000,1000,1000
POST,soap:GetSong,2245,0,200,190.68172748329198,2.3949000005814014,1454.2412999999215,413.539420935412,153.08216372918986,0.0,200,250,260,280,300,320,400,570,1200,1500,1500
POST,soap:GetUser,1333,0,200,192.87014868718364,12.123299999984738,1454.7081999999136,313.91747936984245,90.89466559065036,0.0,200,250,260,280,300,320,400,630,1200,1500,1500
POST,soap:ListPlaylists,929,0,210,191.32683272337175,5.21389999994426,1454.2230000006384,12778.0,63.346694924016646,0.0,210,240,260,280,310,330,380,460,1500,1500,1500
POST,soap:ListSongs,1347,0,210,206.6766875278499,10.198499999205524,1463.761500000146,115952.0,91.8492982375139,0.0,210,260,280,290,330,350,470,760,1500,1500,1500
POST,soap:ListUsers,934,0,210,198.70937055672886,23.154900000008638,1460.139099999651,39777.0,63.68763515503934,0.0,210,260,270,280,310,330,390,570,1500,1500,1500
,Aggregated,9053,0,200,194.46535323097348,2.3949000005814014,1463.761500000146,23052.288744062742,617.3063822896908,0.0,200,250,270,280,310,330,400,570,1200,1500,1500
