Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,gql:playlist(id),1341,0,200,207.41285764353944,3.7675999992643483,1350.1742999997077,69.6607009694258,90.89029341091461,0.0,200,270,290,310,360,400,460,510,1300,1400,1400
POST,gql:playlist_songs,875,0,200,202.738047885721,12.98049999968498,1351.8237999996927,426.55885714285716,59.30574700563034,0.0,200,260,290,300,370,420,460,480,1400,1400,1400
POST,gql:playlists,875,0,200,210.1620359999923,10.041100000307779,1587.6679000002696,4786.0,59.30574700563034,0.0,200,260,290,310,360,420,490,740,1600,1600,1600
POST,gql:song(id),2086,0,200,209.6818828379726,4.798899999514106,1579.483600000458,151.56184084372003,141.38490086142272,0.0,200,260,290,310,370,420,530,780,1400,1600,1600
POST,gql:songs,1342,0,230,228.80222190760088,16.021200000068347,1588.141700000051,28366.949329359166,90.95807140749247,0.0,230,280,310,330,390,430,470,540,1400,1600,1600
POST,gql:user(id),1385,0,200,211.24747963896775,9.716300000036426,1586.216499999864,83.96462093862816,93.8725252603406,0.0,200,260,290,310,370,400,470,670,1600,1600,1600
POST,gql:users,868,0,200,210.30574020736873,13.660100000379316,1588.0803000000014,19797.0,58.8313010295853,0.0,200,270,300,320,370,410,480,550,1600,1600,1600
,Aggregated,8772,0,210,211.92434412904376,3.7675999992643483,1588.141700000051,6878.60180118559,594.5485859810163,0.0,210,270,300,310,370,420,470,650,1400,1600,1600
