Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,GetPlaylist,897,0,5,16.883610144926884,1.1025000003428431,137.34039999962988,42.845039018952065,63.861197598929806,0.0,5,12,17,23,54,77,98,120,140,140,140
grpc,GetPlaylistSongs,618,0,6,18.2325699029133,1.5798000003997004,149.2366000002221,578.1715210355987,43.99801573705532,0.0,6,13,19,24,57,81,100,110,150,150,150
grpc,GetSong,1475,0,5,16.877529355922395,1.2411000006977702,136.01939999989554,80.80067796610169,105.01144532711423,0.0,5,12,17,23,52,79,100,120,130,140,140
grpc,GetUser,916,0,5,16.544139410495028,1.210200000059558,135.91619999988325,62.8471615720524,65.21388740314349,0.0,5,12,17,22,50,80,100,120,140,140,140
grpc,ListPlaylists,597,0,6,17.427510050261446,1.2708000003840425,135.52940000045055,4477.0,42.5029375323981,0.0,6,12,18,24,53,81,100,110,140,140,140
grpc,ListSongs,915,0,7,18.55233344263741,2.2782999994888087,149.85609999985172,41408.0,65.1426932029217,0.0,7,14,19,26,56,77,100,110,150,150,150
grpc,ListUsers,612,0,6,17.429522875818886,1.5948999998727231,136.2067999998544,19457.0,43.57085053572469,0.0,6,13,17,21,51,88,100,130,140,140,140
,Aggregated,6030,0,6,17.33127538972129,1.1025000003428431,149.85609999985172,8796.22951907131,429.30102733728734,0.0,6,12,17,23,53,79,100,120,140,150,150
