Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,gql:playlist(id),787,0,54,56.92788856416596,4.644699999516888,206.96210000005522,69.68996188055908,55.455434477341605,0.0,54,59,63,66,73,84,100,130,210,210,210
POST,gql:playlist_songs,594,0,56,60.68574175086837,3.7640999998984626,198.0679999996937,425.9713804713805,41.85581712775211,0.0,56,62,67,70,81,100,120,140,200,200,200
POST,gql:playlists,493,0,54,58.74929614603119,4.638399999748799,231.7220000004454,4786.0,34.738918929262276,0.0,54,61,65,68,76,88,110,150,230,230,230
POST,gql:song(id),1336,0,56,59.08775508982429,2.946700000393321,185.93500000042695,151.05239520958085,94.1403563681428,0.0,56,62,66,70,78,94,120,130,170,190,190
POST,gql:songs,780,0,63,70.2502765384615,6.178600000566803,256.31780000003346,28388.0,54.96218410714924,0.0,63,71,76,81,97,130,160,220,260,260,260
POST,gql:user(id),816,0,54,59.012964828428615,3.3880999999382766,205.360699999801,83.8529411764706,57.49890029670997,0.0,54,61,66,68,78,92,120,150,210,210,210
POST,gql:users,551,0,59,63.61241197823397,6.705800000418094,211.8688000000475,19797.0,38.82585056799901,0.0,59,66,72,75,85,100,130,150,210,210,210
,Aggregated,5357,0,57,60.99579180511809,2.946700000393321,256.31780000003346,6718.011573641964,377.477461874357,0.0,57,63,68,71,81,98,130,150,230,260,260
