Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,gql:playlist(id),249,0,47,47.114067469865184,10.172100000090722,61.16450000081386,69.53413654618474,17.723021784052634,0.0,47,48,50,50,54,56,58,58,61,61,61
POST,gql:playlist_songs,190,0,47,47.637643157917125,12.253099999725237,60.868999999911466,426.13157894736844,13.523590919558233,0.0,47,49,50,51,54,59,60,60,61,61,61
POST,gql:playlists,157,0,47,47.47494968155392,12.44589999987511,62.84409999989293,4786.0,11.17475670721391,0.0,47,49,50,50,52,55,58,58,63,63,63
POST,gql:song(id),442,0,48,48.237389366512126,10.716400000092108,64.71909999982017,151.47737556561086,31.46014308655126,0.0,48,50,52,53,56,58,60,63,65,65,65
POST,gql:songs,252,0,52,51.97134563492173,19.16019999953278,71.17659999948955,28388.0,17.936552166993025,0.0,52,53,54,55,58,62,64,67,71,71,71
POST,gql:user(id),254,0,47,47.02807047246684,11.223000000427419,60.99519999952463,83.84251968503936,18.078905755619953,0.0,47,49,50,51,54,57,59,60,61,61,61
POST,gql:users,195,0,49,49.12498256408771,16.475999999784108,64.7899999994479,19797.0,13.879474891125556,0.0,49,50,51,52,56,59,62,64,65,65,65
,Aggregated,1739,0,48,48.40616952271824,10.172100000090722,71.17659999948955,6872.985048878666,123.77644531111457,0.0,48,50,51,52,56,58,60,63,69,71,71
