Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/playlists,927,0,220,229.95126591152913,3.661400000055437,850.6848999995782,9562.0,63.04080073358553,0.0,220,310,350,380,460,520,610,660,850,850,850
GET,/playlists/[id],1327,0,220,223.95659615673367,2.481600000464823,942.2732000002725,94.64129615674453,90.24287224753829,0.0,220,290,340,380,450,500,600,630,790,940,940
GET,/playlists/[id]/songs,881,0,210,220.7119702610682,3.08729999960633,926.428599999781,1266.328036322361,59.91256250948096,0.0,210,290,330,370,450,520,580,620,930,930,930
GET,/songs,1361,0,230,230.09807391623372,13.029099999585014,1024.395600000389,90444.0,92.55504832622428,0.0,230,290,340,370,440,490,560,620,990,1000,1000
GET,/songs/[id],2283,0,210,217.5300883924664,2.5262999997721636,825.0864000001457,179.81340341655715,155.2558231658854,0.0,210,290,340,370,440,500,590,630,710,830,830
GET,/users,891,0,210,221.09349438832805,6.112600000051316,1037.6812000004065,34177.0,60.59261429732978,0.0,210,290,340,360,450,500,570,620,1000,1000,1000
GET,/users/[id],1416,0,220,222.79542146893257,2.3856999996496597,830.7133000007525,113.02118644067797,96.29533315939278,0.0,220,290,340,380,450,510,610,640,830,830,830
,Aggregated,9086,0,220,223.0970463460241,2.3856999996496597,1037.6812000004065,18074.151551837993,617.895054439437,0.0,220,290,340,370,450,500,590,630,830,1000,1000
