Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/playlists,227,0,3,5.204981938371497,1.466900000195892,28.04389999982959,8363.0,16.13980791684892,0.0,3,4,6,7,12,14,20,20,28,28,28
GET,/playlists/[id],290,0,3,4.887374137973078,1.6046999999161926,22.701400000187277,83.67241379310344,20.61913786734003,0.0,3,4,5,7,12,13,17,18,23,23,23
GET,/playlists/[id]/songs,217,0,4,5.9978645160953326,1.9902000003639841,31.77109999978711,1187.373271889401,15.42880316280271,0.0,4,5,6,10,13,18,21,26,32,32,32
GET,/songs,286,0,5,6.723222377563839,2.464000000145461,34.50390000034531,84695.0,20.334735965721546,0.0,5,6,8,10,14,16,19,25,35,35,35
GET,/songs/[id],511,0,3,5.055372994144148,1.5690999998696498,28.07470000061585,169.70058708414874,36.33234293176122,0.0,3,4,5,6,12,14,18,19,28,28,28
GET,/users,187,0,4,5.822942780726792,1.8139000003429828,26.836299999558832,30578.0,13.295788900664087,0.0,4,5,7,10,13,15,19,21,27,27,27
GET,/users/[id],271,0,3,4.720088929885719,1.3992999993206467,23.068999999850348,101.8929889298893,19.268228834652234,0.0,3,4,5,6,11,14,17,17,23,23,23
,Aggregated,1989,0,4,5.41708275515388,1.3992999993206467,34.50390000034531,16206.893916540976,141.41884557979074,0.0,4,5,6,8,12,15,18,21,32,35,35
