Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,GetPlaylist,1640,25,56,146.09858243901425,1.0712000002968125,552.9553000005762,42.107926829268294,115.77319055984427,1.7648352219488455,56,200,300,330,390,440,490,510,550,550,550
grpc,GetPlaylistSongs,1100,24,50,143.33168154545763,1.4547999999194872,555.0111000002289,566.3218181818182,77.6527497657492,1.6942418130708916,51,210,290,330,380,440,490,500,540,560,560
grpc,GetSong,2728,51,43,139.12427994867537,1.1096999996880186,551.9264000004114,79.4483137829912,192.57881941905802,3.6002638527756448,43,200,280,320,380,430,490,510,540,550,550
grpc,GetUser,1655,27,55,144.52859812690215,1.1138999998365762,555.5232999995496,61.83746223564955,116.83209169301357,1.9060220397047531,55,200,290,330,390,450,500,510,560,560,560
grpc,ListPlaylists,1125,23,37,132.78448035555056,1.1985000001004664,553.6050000000614,4385.470222222222,79.41758498769805,1.6236484041929378,37,170,270,310,380,430,490,500,530,550,550
grpc,ListSongs,1718,29,56,141.18190052386507,2.0888999997623614,548.2398000003741,40709.029103608846,121.27947645232466,2.0472088574606606,56,200,280,320,380,430,480,510,550,550,550
grpc,ListUsers,1126,17,30,129.7935388099539,1.4134000002741232,555.0966000000699,19163.244227353465,79.488178396576,1.200087950925215,30,160,260,300,370,450,500,510,550,560,560
,Aggregated,11092,196,46,140.1075514514965,1.0712000002968125,555.5232999995496,8786.572845293906,783.0220912742637,13.836308140078948,46,190,280,320,380,440,490,510,550,560,560
