Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,soap:GetPlaylist,16,0,9300,8248.591868750224,2071.8784999999116,12416.1251000005,461.4375,1.1895366717887979,0.0,9300,10000,10000,10000,12000,12000,12000,12000,12000,12000,12000
POST,soap:GetPlaylistSongs,10,0,6800,7992.001370000071,189.98939999983122,12322.92679999955,2608.6,0.7434604198679987,0.0,7200,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000
POST,soap:GetSong,25,0,4200,5127.887328000069,182.63630000001285,12418.015500000365,589.68,1.8586510496699968,0.0,4200,6200,7400,9300,10000,10000,12000,12000,12000,12000,12000
POST,soap:GetUser,14,0,3100,3910.933399999846,119.3262999995568,8267.633499999647,459.92857142857144,1.0408445878151982,0.0,4100,5200,6200,6200,6600,8300,8300,8300,8300,8300,8300
POST,soap:ListPlaylists,13,0,7400,6977.339999999738,1056.5125999992233,12332.578800000192,19082.0,0.9664985458283983,0.0,7400,8400,9300,10000,10000,12000,12000,12000,12000,12000,12000
POST,soap:ListSongs,13,0,7400,6409.483592307808,126.2907999998788,12415.292700000464,162948.0,0.9664985458283983,0.0,7400,8400,8400,11000,11000,12000,12000,12000,12000,12000,12000
POST,soap:ListUsers,7,0,5200,6689.454499999946,2095.423099999607,11474.882999999863,58481.0,0.5204222939075991,0.0,5200,9300,11000,11000,11000,11000,11000,11000,11000,11000,11000
,Aggregated,98,0,6200,6282.679822448995,119.3262999995568,12418.015500000365,28881.70408163265,7.285912114706387,0.0,6600,8300,9300,10000,11000,12000,12000,12000,12000,12000,12000
