Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,soap:GetPlaylist,16,0,2800,3516.133087500066,25.953999999728694,6920.16650000005,461.6875,1.1910261519765868,0.0,4200,5800,6400,6400,6800,6900,6900,6900,6900,6900,6900
POST,soap:GetPlaylistSongs,9,0,2100,2860.973911111008,771.4739000002737,5843.647000000601,2604.5555555555557,0.6699522104868301,0.0,2100,2300,5400,5700,5800,5800,5800,5800,5800,5800,5800
POST,soap:GetSong,20,0,3200,4087.96273500002,39.40549999970244,7286.311799999567,590.8,1.4887826899707335,0.0,3200,5700,6900,7000,7200,7300,7300,7300,7300,7300,7300
POST,soap:GetUser,20,0,4000,4127.651384999854,28.99780000007013,7662.9180999998425,460.4,1.4887826899707335,0.0,4300,6200,6400,6900,7000,7700,7700,7700,7700,7700,7700
POST,soap:ListPlaylists,10,0,4200,4275.594989999809,38.81379999984347,7224.585999999363,19082.0,0.7443913449853667,0.0,4300,5400,5400,7200,7200,7200,7200,7200,7200,7200,7200
POST,soap:ListSongs,14,0,4400,4681.80078571439,1093.9871999999013,7306.550299999799,162948.0,1.0421478829795134,0.0,5400,7100,7100,7200,7300,7300,7300,7300,7300,7300,7300
POST,soap:ListUsers,9,0,5300,5327.644422222167,2798.8525000000664,7801.5723999997135,58481.0,0.6699522104868301,0.0,5300,5400,7000,7000,7800,7800,7800,7800,7800,7800,7800
,Aggregated,98,0,4200,4107.8483438775165,25.953999999728694,7801.5723999997135,31125.23469387755,7.295035180856593,0.0,4300,5400,6400,6900,7100,7300,7700,7800,7800,7800,7800
