Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,gql:playlist(id),243,0,56,56.21506666667664,5.931300000156625,167.4739000000045,75.62962962962963,17.28548171887803,0.0,56,60,67,70,77,84,93,120,170,170,170
POST,gql:playlist_songs,179,0,57,61.062352513936425,8.828999999423104,183.45570000019507,468.6256983240223,12.732926862877234,0.0,57,62,68,72,89,100,120,170,180,180,180
POST,gql:playlists,158,0,58,59.07999620248569,6.042200000592857,145.98899999964488,5386.0,11.239119800751972,0.0,58,62,64,67,80,100,130,140,150,150,150
POST,gql:song(id),398,0,56,56.20145326633174,4.6012999991944525,168.6055000000124,164.33417085427135,28.311200510754965,0.0,56,61,64,67,76,87,100,110,170,170,170
POST,gql:songs,255,0,75,76.88295058821193,15.447600000698003,183.09389999922132,31388.0,18.139085754378183,0.0,75,82,87,92,100,120,130,150,180,180,180
POST,gql:user(id),259,0,55,57.44147335904316,7.076699999743141,181.56350000026578,89.8996138996139,18.42362043287823,0.0,55,59,63,67,77,92,110,120,180,180,180
POST,gql:users,169,0,65,66.59928343199105,9.542800000417628,200.2927000003183,21597.0,12.021590166627108,0.0,65,70,74,79,91,100,130,170,200,200,200
,Aggregated,1661,0,59,61.42746116796055,4.6012999991944525,200.2927000003183,7643.450933172788,118.15302524714572,0.0,59,66,71,75,86,100,120,140,180,200,200
