Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,gql:playlist(id),814,0,54,57.99091781326946,4.187399999864283,226.47670000060316,75.61547911547912,57.73723907450318,0.0,54,60,65,71,85,110,130,150,230,230,230
POST,gql:playlist_songs,524,0,54,60.12138549617841,5.098800000268966,207.81030000034661,467.9980916030534,37.16746102584725,0.0,54,61,66,70,87,110,130,160,210,210,210
POST,gql:playlists,544,0,55,61.671818382368365,5.295800000567397,287.26300000016636,5386.0,38.58606640851318,0.0,55,63,70,74,93,110,130,180,290,290,290
POST,gql:song(id),1286,0,54,58.53587869362237,4.065400000399677,324.32040000003326,164.73328149300156,91.21632610541903,0.0,54,60,66,71,85,110,130,140,270,320,320
POST,gql:songs,770,0,65,71.62141961040555,12.44819999919855,320.46230000014475,31388.0,54.61630723263814,0.0,65,73,80,85,100,120,160,230,320,320,320
POST,gql:user(id),857,0,55,59.771282497101865,4.110000000764558,329.75729999998293,89.98833138856476,60.78724064723492,0.0,55,62,68,72,88,100,130,150,330,330,330
POST,gql:users,532,0,59,64.4332734962559,8.89400000050955,328.38880000053905,21597.0,37.734903178913626,0.0,59,67,73,78,92,110,140,180,330,330,330
,Aggregated,5327,0,57,61.60799812277869,4.065400000399677,329.75729999998293,7355.753144358926,377.8455436730693,0.0,57,63,70,74,91,110,130,160,310,330,330
