Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,GetPlaylist,297,0,13,18.438335353530785,2.2066999999879044,161.16069999952742,54.76767676767677,21.088076354139798,0.0,13,19,25,28,36,53,71,140,160,160,160
grpc,GetPlaylistSongs,188,1,13,17.447993085131607,2.251799999612558,87.90439999938826,657.9414893617021,13.348681328546403,0.07100362408801279,14,20,23,26,38,51,65,67,88,88,88
grpc,GetSong,458,0,12,18.337371615732227,1.8005000001721783,219.80979999989358,92.63755458515284,32.519659832309856,0.0,12,19,24,28,39,55,71,88,220,220,220
grpc,GetUser,271,1,12,17.755523616185414,2.0310999998400803,152.6337000004787,74.61254612546125,19.241982127851465,0.07100362408801279,12,17,23,27,42,54,68,110,150,150,150
grpc,ListPlaylists,196,0,14,18.3329928571376,2.5374000006195274,106.53090000050724,5677.0,13.916710321250505,0.0,14,18,23,27,38,58,82,98,110,110,110
grpc,ListSongs,278,1,19,25.239157194264145,5.004000000553788,171.36260000006587,47237.467625899284,19.739007496467554,0.07100362408801279,19,29,34,38,49,66,73,110,170,170,170
grpc,ListUsers,179,1,13,21.25356536315996,3.3414999998058192,193.1280999997398,22928.18994413408,12.709648711754289,0.07100362408801279,13,20,26,29,47,68,98,160,190,190,190
,Aggregated,1867,4,14,19.48624097482862,1.8005000001721783,219.80979999989358,9936.508302088912,132.56376617231987,0.28401449635205117,14,20,26,29,41,56,72,99,210,220,220
