Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/playlists,616,0,8,16.920379545451528,3.498600000057195,140.918099999908,9562.0,43.632732438475095,0.0,8,14,20,26,40,57,84,100,140,140,140
GET,/playlists/[id],916,0,9,16.60870458515914,2.2095999993325677,129.4910999995409,94.64737991266375,64.88243979487531,0.0,9,15,22,27,41,54,71,91,130,130,130
GET,/playlists/[id]/songs,614,0,8,14.920287785011501,2.851100000043516,155.56199999991804,1266.8257328990228,43.49106772276576,0.0,8,14,18,22,35,50,67,81,160,160,160
GET,/songs,912,0,22,29.44777500000515,13.152200000149605,143.36490000005142,90444.0,64.59911036345663,0.0,22,30,36,40,54,66,81,93,140,140,140
GET,/songs/[id],1546,0,8,15.681681241931262,2.2744999996575643,135.20810000045458,179.60996119016818,109.50682524331575,0.0,8,15,20,24,38,52,70,89,130,140,140
GET,/users,596,0,13,20.10227802013667,6.011899999975867,136.4691999997376,34177.0,42.21608528138175,0.0,13,18,24,29,42,58,81,96,140,140,140
GET,/users/[id],879,0,7,14.72782002274657,2.4339000001418754,148.4292999994068,112.8566552901024,62.26164255425262,0.0,7,12,17,23,38,50,72,95,150,150,150
,Aggregated,6079,0,12,18.230719756543337,2.2095999993325677,155.56199999991804,18092.781378516203,430.5899033985229,0.0,12,18,23,28,42,56,74,93,140,160,160
