Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,GetPlaylist,261,0,2,6.070066283532417,1.170000000456639,63.915300000189745,42.79693486590038,18.591086322165996,0.0,2,3,3,6,12,37,46,50,64,64,64
grpc,GetPlaylistSongs,216,0,3,7.176858333343295,1.6071999998530373,66.13430000015796,579.4212962962963,15.385726611447721,0.0,3,4,4,5,17,37,49,62,66,66,66
grpc,GetSong,515,0,2,5.184633786417375,1.2544000001071254,61.711499999546504,80.89514563106796,36.68356113377582,0.0,2,3,3,4,12,22,37,46,62,62,62
grpc,GetUser,300,0,2,5.578837000014876,1.1106000001745997,57.238800000050105,62.81666666666667,21.369064738121835,0.0,2,3,5,10,13,21,33,52,57,57,57
grpc,ListPlaylists,197,0,2,5.448486802005238,1.3152999999874737,47.556299999996554,4477.0,14.032352511366671,0.0,2,3,4,4,12,29,44,46,48,48,48
grpc,ListSongs,308,0,4,7.6977097402351475,2.1839999999428983,69.85379999969155,41408.0,21.93890646447175,0.0,4,5,5,7,14,32,52,56,70,70,70
grpc,ListUsers,196,0,3,6.059231632634135,1.543600000331935,67.5307999999859,19457.0,13.961122295572931,0.0,3,3,3,4,13,33,39,56,68,68,68
,Aggregated,1993,0,3,6.076308128448204,1.1106000001745997,69.85379999969155,8854.007024586052,141.96182007692272,0.0,3,3,4,5,13,29,45,52,68,70,70
